"","celltype","genotype","n_unique_feat4","tp"
"140","SC-beta","ONECUT1e",1,"D18"
"141","SC-beta","OTUD5",1,"D18"
"142","SC-beta","PROSER1",1,"D18"
"143","SC-beta","TET1",1,"D18"
"144","SC-beta","TET1/2/3",1,"D18"
"145","SC-delta","NKX2-2",1,"D18"
"146","SC-EC","ARX",1,"D18"
"147","SC-EC","BCOR",1,"D18"
"148","SC-EC","ONECUT1e",1,"D18"
"149","SC-EC","OTUD5",1,"D18"
"150","SC-EC","PROSER1",1,"D18"
"151","SC-EC","QSER1",1,"D18"
"152","SC-EC","RFX6",1,"D18"
"153","SC-EC","TADA2B",1,"D18"
"154","SC-EC","TET1",1,"D18"
"155","Stromal","ARX",1,"D18"
"156","Stromal","NKX2-2",1,"D18"
"157","Stromal","PAX6",1,"D18"
"158","Stromal","TLE3",1,"D18"
