"DAV","Dataset","Gene Symbol","Analysis Type","Assay Type","DAV Matrix","Output Image Object","Location","Script"
"Fred-Hutch","MSK sc-RNA-seq","QSER1","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","QSER1_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/QSER1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","QSER1TET1","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","QSER1TET1_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/QSER1TET1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","QSER1TET1","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/QSER1TET1.tsv","QSER1TET1_nDEG-updown.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/QSER1TET1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","QSER1TET1","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/QSER1TET1.tsv","QSER1TET1_nDEG-total.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/QSER1TET1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","QSER1TET1","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/QSER1TET1.tsv","QSER1TET1_DE-dotplot.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/QSER1TET1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","QSER1TET1","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","QSER1TET1_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/QSER1TET1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","RFX6","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","RFX6_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/RFX6","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","RFX6","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/RFX6.tsv","RFX6_nDEG-updown.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/RFX6","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","RFX6","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/RFX6.tsv","RFX6_nDEG-total.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/RFX6","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","RFX6","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/RFX6.tsv","RFX6_DE-dotplot.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/RFX6","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","RFX6","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","RFX6_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/RFX6","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","TADA2B","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","TADA2B_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/TADA2B","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","TADA2B","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","TADA2B_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/TADA2B","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","TET1","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","TET1_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/TET1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","TET1","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","TET1_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/TET1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","TLE3","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","TLE3_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/TLE3","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","TLE3","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/TLE3.tsv","TLE3_nDEG-updown.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/TLE3","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","TLE3","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/TLE3.tsv","TLE3_nDEG-total.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/TLE3","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","TLE3","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/TLE3.tsv","TLE3_DE-dotplot.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/TLE3","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","TLE3","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","TLE3_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/TLE3","4_genotype-plots.Rmd"
