"","genotype","celltype","count","proportion","time_point"
"67","WT","Stromal",1,0.000357398141529664,"D-1"
"68","WT","Liver",1,0.000357398141529664,"D-1"
"69","ARX","DE",421,0.83201581027668,"D3"
"70","ARX","ESC_DE",54,0.106719367588933,"D3"
"71","ARX","ESC",31,0.0612648221343874,"D3"
"72","BCOR","DE",140,0.89171974522293,"D3"
"73","BCOR","ESC",9,0.0573248407643312,"D3"
"74","BCOR","ESC_DE",8,0.0509554140127389,"D3"
"75","BMPR1A","DE",207,0.781132075471698,"D3"
"76","BMPR1A","ESC_DE",30,0.113207547169811,"D3"
"77","BMPR1A","ESC",27,0.10188679245283,"D3"
"78","BMPR1A","Mesenchymal_Stromal",1,0.00377358490566038,"D3"
"79","FOXA1","DE",1012,0.783888458559256,"D3"
"80","FOXA1","ESC_DE",208,0.161115414407436,"D3"
"81","FOXA1","ESC",68,0.0526723470178156,"D3"
"82","FOXA1","Mesenchymal_Stromal",3,0.00232378001549187,"D3"
"83","FOXA2","DE",700,0.726141078838174,"D3"
"84","FOXA2","ESC_DE",146,0.151452282157676,"D3"
"85","FOXA2","ESC",118,0.122406639004149,"D3"
"86","GATA4","DE",386,0.77979797979798,"D3"
"87","GATA4","ESC_DE",68,0.137373737373737,"D3"
"88","GATA4","ESC",41,0.0828282828282828,"D3"
"89","GATA4het","DE",375,0.78781512605042,"D3"
"90","GATA4het","ESC_DE",71,0.149159663865546,"D3"
"91","GATA4het","ESC",30,0.0630252100840336,"D3"
"92","GATA6","DE",265,0.54639175257732,"D3"
"93","GATA6","ESC_DE",152,0.31340206185567,"D3"
"94","GATA6","ESC",67,0.138144329896907,"D3"
"95","GATA6","Mesenchymal_Stromal",1,0.00206185567010309,"D3"
"96","GATA6het","DE",490,0.681502086230876,"D3"
"97","GATA6het","ESC_DE",124,0.172461752433936,"D3"
"98","GATA6het","ESC",104,0.144645340751043,"D3"
"99","GATA6het","PFG",1,0.00139082058414465,"D3"
"100","GLIS3","DE",137,0.913333333333333,"D3"
"101","GLIS3","ESC",7,0.0466666666666667,"D3"
"102","GLIS3","ESC_DE",6,0.04,"D3"
"103","GSC","ESC_DE",303,0.538188277087034,"D3"
"104","GSC","DE",216,0.383658969804618,"D3"
"105","GSC","ESC",42,0.0746003552397869,"D3"
"106","GSC","Mesenchymal_Stromal",2,0.00355239786856128,"D3"
"107","HHEX","DE",209,0.696666666666667,"D3"
"108","HHEX","ESC_DE",58,0.193333333333333,"D3"
"109","HHEX","ESC",31,0.103333333333333,"D3"
"110","HHEX","Mesenchymal_Stromal",2,0.00666666666666667,"D3"
"111","HHEXe","DE",352,0.794582392776524,"D3"
"112","HHEXe","ESC_DE",68,0.153498871331828,"D3"
"113","HHEXe","ESC",23,0.0519187358916479,"D3"
"114","HHEXhet","DE",103,0.741007194244604,"D3"
"115","HHEXhet","ESC_DE",32,0.23021582733813,"D3"
"116","HHEXhet","ESC",4,0.0287769784172662,"D3"
"117","HNF4A","DE",161,0.829896907216495,"D3"
"118","HNF4A","ESC_DE",25,0.128865979381443,"D3"
"119","HNF4A","ESC",8,0.0412371134020619,"D3"
"120","HNF4Ahet","DE",104,0.732394366197183,"D3"
"121","HNF4Ahet","ESC_DE",24,0.169014084507042,"D3"
"122","HNF4Ahet","ESC",13,0.0915492957746479,"D3"
"123","HNF4Ahet","Mesenchymal_Stromal",1,0.00704225352112676,"D3"
"124","KDM2B","DE",47,0.824561403508772,"D3"
"125","KDM2B","ESC",6,0.105263157894737,"D3"
"126","KDM2B","ESC_DE",4,0.0701754385964912,"D3"
"127","MNX1","DE",898,0.770154373927959,"D3"
"128","MNX1","ESC_DE",180,0.154373927958834,"D3"
"129","MNX1","ESC",87,0.0746140651801029,"D3"
"130","MNX1","PFG",1,0.000857632933104631,"D3"
"131","NANOGehet","DE",193,0.941463414634146,"D3"
"132","NANOGehet","ESC",8,0.0390243902439024,"D3"
"133","NANOGehet","ESC_DE",4,0.0195121951219512,"D3"
"134","NEUROD1","DE",399,0.832985386221294,"D3"
"135","NEUROD1","ESC_DE",56,0.116910229645094,"D3"
"136","NEUROD1","ESC",21,0.0438413361169102,"D3"
"137","NEUROD1","Mesenchymal_Stromal",2,0.00417536534446764,"D3"
"138","NEUROD1","PFG",1,0.00208768267223382,"D3"
"139","NGN3","DE",228,0.791666666666667,"D3"
"140","NGN3","ESC_DE",44,0.152777777777778,"D3"
"141","NGN3","ESC",15,0.0520833333333333,"D3"
"142","NGN3","Mesenchymal_Stromal",1,0.00347222222222222,"D3"
"143","NKX2-2","DE",783,0.845572354211663,"D3"
"144","NKX2-2","ESC_DE",91,0.0982721382289417,"D3"
"145","NKX2-2","ESC",47,0.050755939524838,"D3"
"146","NKX2-2","Mesenchymal_Stromal",5,0.00539956803455724,"D3"
"147","ONECUT1e","DE",281,0.743386243386243,"D3"
"148","ONECUT1e","ESC_DE",53,0.14021164021164,"D3"
"149","ONECUT1e","ESC",43,0.113756613756614,"D3"
"150","ONECUT1e","Mesenchymal_Stromal",1,0.00264550264550265,"D3"
"151","OTUD5","DE",629,0.867586206896552,"D3"
"152","OTUD5","ESC_DE",57,0.0786206896551724,"D3"
"153","OTUD5","ESC",37,0.0510344827586207,"D3"
"154","OTUD5","PFG",1,0.00137931034482759,"D3"
"155","OTUD5","Mesenchymal_Stromal",1,0.00137931034482759,"D3"
"156","PAX6","DE",350,0.855745721271394,"D3"
"157","PAX6","ESC_DE",34,0.0831295843520782,"D3"
"158","PAX6","ESC",23,0.0562347188264059,"D3"
"159","PAX6","Mesenchymal_Stromal",2,0.00488997555012225,"D3"
"160","PBX1","DE",74,0.948717948717949,"D3"
"161","PBX1","ESC",3,0.0384615384615385,"D3"
"162","PBX1","ESC_DE",1,0.0128205128205128,"D3"
"163","PDX1","DE",564,0.905296950240771,"D3"
"164","PDX1","ESC_DE",36,0.057784911717496,"D3"
"165","PDX1","ESC",21,0.0337078651685393,"D3"
"166","PDX1","PFG",1,0.00160513643659711,"D3"
"167","PDX1","Mesenchymal_Stromal",1,0.00160513643659711,"D3"
"168","PDX1het","DE",27,0.931034482758621,"D3"
"169","PDX1het","ESC",2,0.0689655172413793,"D3"
"170","PROSER1","DE",413,0.851546391752577,"D3"
"171","PROSER1","ESC_DE",47,0.0969072164948454,"D3"
"172","PROSER1","ESC",24,0.0494845360824742,"D3"
"173","PROSER1","Mesenchymal_Stromal",1,0.00206185567010309,"D3"
"174","QSER1","DE",296,0.785145888594164,"D3"
"175","QSER1","ESC_DE",54,0.143236074270557,"D3"
"176","QSER1","ESC",27,0.0716180371352785,"D3"
"177","QSER1TET1","DE",396,0.825,"D3"
"178","QSER1TET1","ESC_DE",49,0.102083333333333,"D3"
"179","QSER1TET1","ESC",33,0.06875,"D3"
"180","QSER1TET1","EnP",1,0.00208333333333333,"D3"
"181","QSER1TET1","Stromal",1,0.00208333333333333,"D3"
"182","RFX6","DE",643,0.852785145888594,"D3"
"183","RFX6","ESC_DE",76,0.10079575596817,"D3"
"184","RFX6","ESC",32,0.0424403183023873,"D3"
"185","RFX6","Mesenchymal_Stromal",3,0.00397877984084881,"D3"
"186","TADA2B","DE",115,0.877862595419847,"D3"
"187","TADA2B","ESC",11,0.083969465648855,"D3"
"188","TADA2B","ESC_DE",3,0.0229007633587786,"D3"
"189","TADA2B","Mesenchymal_Stromal",2,0.0152671755725191,"D3"
"190","TET1","DE",329,0.854545454545454,"D3"
"191","TET1","ESC_DE",40,0.103896103896104,"D3"
"192","TET1","ESC",16,0.0415584415584416,"D3"
"193","TET1/2/3","DE",112,0.941176470588235,"D3"
"194","TET1/2/3","ESC_DE",3,0.0252100840336134,"D3"
"195","TET1/2/3","ESC",2,0.0168067226890756,"D3"
"196","TET1/2/3","Mesenchymal_Stromal",2,0.0168067226890756,"D3"
"197","TLE3","DE",260,0.728291316526611,"D3"
"198","TLE3","ESC_DE",74,0.207282913165266,"D3"
"199","TLE3","ESC",22,0.061624649859944,"D3"
"200","TLE3","Mesenchymal_Stromal",1,0.00280112044817927,"D3"
"201","WT","DE",2649,0.925576519916143,"D3"
"202","WT","ESC_DE",144,0.050314465408805,"D3"
"203","WT","ESC",49,0.017120894479385,"D3"
"204","WT","Mesenchymal_Stromal",6,0.00209643605870021,"D3"
"205","WT","EnP",4,0.00139762403913347,"D3"
"206","WT","Stromal",4,0.00139762403913347,"D3"
"207","WT","SC-alpha",2,0.000698812019566737,"D3"
"208","WT","SC-beta",2,0.000698812019566737,"D3"
"209","WT","SC-delta",1,0.000349406009783368,"D3"
"210","WT","Ductal",1,0.000349406009783368,"D3"
"211","ARX","Liver",212,0.361774744027304,"D7"
"212","ARX","PFG",209,0.356655290102389,"D7"
"213","ARX","Stromal",74,0.126279863481229,"D7"
"214","ARX","DE",47,0.0802047781569966,"D7"
"215","ARX","Endothelial",26,0.0443686006825939,"D7"
"216","ARX","ESC",18,0.0307167235494881,"D7"
"217","BCOR","Liver",94,0.552941176470588,"D7"
"218","BCOR","PFG",61,0.358823529411765,"D7"
"219","BCOR","DE",8,0.0470588235294118,"D7"
"220","BCOR","ESC",2,0.0117647058823529,"D7"
"221","BCOR","Stromal",2,0.0117647058823529,"D7"
"222","BCOR","Endothelial",2,0.0117647058823529,"D7"
"223","BCOR","Ductal",1,0.00588235294117647,"D7"
"224","BMPR1A","Stromal",20,0.240963855421687,"D7"
"225","BMPR1A","DE",16,0.192771084337349,"D7"
"226","BMPR1A","PFG",16,0.192771084337349,"D7"
"227","BMPR1A","Liver",15,0.180722891566265,"D7"
"228","BMPR1A","ESC_DE",6,0.072289156626506,"D7"
"229","BMPR1A","Ductal",6,0.072289156626506,"D7"
"230","BMPR1A","ESC",4,0.0481927710843374,"D7"
"231","FOXA1","PFG",579,0.499137931034483,"D7"
"232","FOXA1","Liver",435,0.375,"D7"
"233","FOXA1","Stromal",90,0.0775862068965517,"D7"
"234","FOXA1","DE",22,0.0189655172413793,"D7"
"235","FOXA1","Endothelial",15,0.0129310344827586,"D7"
"236","FOXA1","ESC",14,0.0120689655172414,"D7"
"237","FOXA1","Mesenchymal_Stromal",3,0.00258620689655172,"D7"
"238","FOXA1","PP",2,0.00172413793103448,"D7"
"239","FOXA2","Liver",1389,0.67921760391198,"D7"
"240","FOXA2","Endothelial",310,0.15158924205379,"D7"
"241","FOXA2","PFG",192,0.0938875305623472,"D7"
"242","FOXA2","Stromal",98,0.047921760391198,"D7"
"243","FOXA2","DE",38,0.0185819070904645,"D7"
"244","FOXA2","ESC",15,0.00733496332518337,"D7"
"245","FOXA2","PP",1,0.000488997555012225,"D7"
"246","FOXA2","Ductal",1,0.000488997555012225,"D7"
"247","FOXA2","Mesenchymal_Stromal",1,0.000488997555012225,"D7"
"248","GATA4","PFG",30,0.283018867924528,"D7"
"249","GATA4","Liver",25,0.235849056603774,"D7"
"250","GATA4","Stromal",24,0.226415094339623,"D7"
"251","GATA4","DE",13,0.122641509433962,"D7"
"252","GATA4","Ductal",8,0.0754716981132075,"D7"
"253","GATA4","Endothelial",3,0.0283018867924528,"D7"
"254","GATA4","ESC",2,0.0188679245283019,"D7"
"255","GATA4","PP",1,0.00943396226415094,"D7"
"256","GATA4het","PFG",89,0.375527426160338,"D7"
"257","GATA4het","Liver",66,0.278481012658228,"D7"
"258","GATA4het","Stromal",64,0.270042194092827,"D7"
"259","GATA4het","Ductal",7,0.029535864978903,"D7"
"260","GATA4het","Endothelial",5,0.0210970464135021,"D7"
"261","GATA4het","DE",4,0.0168776371308017,"D7"
"262","GATA4het","ESC",1,0.00421940928270042,"D7"
"263","GATA4het","Mesenchymal_Stromal",1,0.00421940928270042,"D7"
"264","GATA6","Endothelial",282,0.764227642276423,"D7"
"265","GATA6","Stromal",33,0.0894308943089431,"D7"
"266","GATA6","Liver",26,0.0704607046070461,"D7"
"267","GATA6","PFG",18,0.0487804878048781,"D7"
"268","GATA6","ESC",6,0.016260162601626,"D7"
"269","GATA6","DE",3,0.00813008130081301,"D7"
"270","GATA6","Ductal",1,0.002710027100271,"D7"
"271","GATA6het","PFG",83,0.356223175965665,"D7"
"272","GATA6het","Liver",82,0.351931330472103,"D7"
"273","GATA6het","Stromal",31,0.133047210300429,"D7"
"274","GATA6het","Endothelial",19,0.0815450643776824,"D7"
"275","GATA6het","DE",13,0.055793991416309,"D7"
"276","GATA6het","ESC",3,0.0128755364806867,"D7"
"277","GATA6het","PP",2,0.00858369098712446,"D7"
"278","GLIS3","PFG",39,0.582089552238806,"D7"
"279","GLIS3","Liver",20,0.298507462686567,"D7"
"280","GLIS3","DE",3,0.0447761194029851,"D7"
"281","GLIS3","Stromal",3,0.0447761194029851,"D7"
"282","GLIS3","ESC",1,0.0149253731343284,"D7"
"283","GLIS3","Endothelial",1,0.0149253731343284,"D7"
"284","GSC","Stromal",90,0.463917525773196,"D7"
"285","GSC","Liver",49,0.252577319587629,"D7"
"286","GSC","PFG",39,0.201030927835052,"D7"
"287","GSC","Endothelial",11,0.0567010309278351,"D7"
"288","GSC","ESC",2,0.0103092783505155,"D7"
"289","GSC","DE",2,0.0103092783505155,"D7"
"290","GSC","Ductal",1,0.00515463917525773,"D7"
"291","HHEX","Liver",96,0.64,"D7"
"292","HHEX","Stromal",25,0.166666666666667,"D7"
"293","HHEX","DE",11,0.0733333333333333,"D7"
"294","HHEX","PFG",10,0.0666666666666667,"D7"
"295","HHEX","ESC",5,0.0333333333333333,"D7"
"296","HHEX","Endothelial",3,0.02,"D7"
"297","HHEXe","Liver",152,0.658008658008658,"D7"
"298","HHEXe","PFG",39,0.168831168831169,"D7"
"299","HHEXe","Stromal",31,0.134199134199134,"D7"
"300","HHEXe","DE",3,0.012987012987013,"D7"
"301","HHEXe","Endothelial",3,0.012987012987013,"D7"
"302","HHEXe","Mesenchymal_Stromal",2,0.00865800865800866,"D7"
"303","HHEXe","ESC",1,0.00432900432900433,"D7"
"304","HHEXhet","Liver",9,0.473684210526316,"D7"
"305","HHEXhet","Stromal",4,0.210526315789474,"D7"
"306","HHEXhet","PFG",3,0.157894736842105,"D7"
"307","HHEXhet","Endothelial",2,0.105263157894737,"D7"
"308","HHEXhet","DE",1,0.0526315789473684,"D7"
"309","HNF4A","PFG",72,0.6,"D7"
"310","HNF4A","Liver",25,0.208333333333333,"D7"
"311","HNF4A","Stromal",17,0.141666666666667,"D7"
"312","HNF4A","ESC",2,0.0166666666666667,"D7"
"313","HNF4A","PP",2,0.0166666666666667,"D7"
"314","HNF4A","DE",1,0.00833333333333333,"D7"
"315","HNF4A","Endothelial",1,0.00833333333333333,"D7"
"316","HNF4Ahet","PFG",53,0.557894736842105,"D7"
"317","HNF4Ahet","Liver",27,0.284210526315789,"D7"
"318","HNF4Ahet","Stromal",7,0.0736842105263158,"D7"
"319","HNF4Ahet","DE",5,0.0526315789473684,"D7"
"320","HNF4Ahet","Ductal",2,0.0210526315789474,"D7"
"321","HNF4Ahet","Endothelial",1,0.0105263157894737,"D7"
"322","KDM2B","Liver",5,0.454545454545455,"D7"
"323","KDM2B","PFG",3,0.272727272727273,"D7"
"324","KDM2B","ESC",1,0.0909090909090909,"D7"
"325","KDM2B","DE",1,0.0909090909090909,"D7"
"326","KDM2B","Endothelial",1,0.0909090909090909,"D7"
"327","MNX1","PFG",524,0.443691786621507,"D7"
"328","MNX1","Liver",350,0.296359017781541,"D7"
"329","MNX1","Stromal",196,0.165961049957663,"D7"
"330","MNX1","DE",60,0.0508044030482642,"D7"
"331","MNX1","ESC",22,0.0186282811176969,"D7"
"332","MNX1","Endothelial",22,0.0186282811176969,"D7"
"333","MNX1","Mesenchymal_Stromal",5,0.00423370025402202,"D7"
"334","MNX1","ESC_DE",1,0.000846740050804403,"D7"
"335","MNX1","PP",1,0.000846740050804403,"D7"
"336","NANOGehet","PFG",64,0.65979381443299,"D7"
"337","NANOGehet","Liver",27,0.278350515463918,"D7"
"338","NANOGehet","DE",3,0.0309278350515464,"D7"
"339","NANOGehet","Stromal",2,0.0206185567010309,"D7"
"340","NANOGehet","ESC",1,0.0103092783505155,"D7"
"341","NEUROD1","PFG",183,0.4765625,"D7"
"342","NEUROD1","Liver",160,0.416666666666667,"D7"
"343","NEUROD1","Stromal",17,0.0442708333333333,"D7"
"344","NEUROD1","DE",12,0.03125,"D7"
"345","NEUROD1","ESC",6,0.015625,"D7"
"346","NEUROD1","PP",3,0.0078125,"D7"
"347","NEUROD1","Endothelial",2,0.00520833333333333,"D7"
"348","NEUROD1","ESC_DE",1,0.00260416666666667,"D7"
"349","NGN3","PFG",121,0.521551724137931,"D7"
"350","NGN3","Liver",76,0.327586206896552,"D7"
"351","NGN3","Stromal",18,0.0775862068965517,"D7"
"352","NGN3","ESC",5,0.021551724137931,"D7"
"353","NGN3","DE",5,0.021551724137931,"D7"
"354","NGN3","Endothelial",4,0.0172413793103448,"D7"
"355","NGN3","ESC_DE",1,0.00431034482758621,"D7"
"356","NGN3","PGT",1,0.00431034482758621,"D7"
"357","NGN3","PP",1,0.00431034482758621,"D7"
"358","NKX2-2","PFG",541,0.516221374045801,"D7"
"359","NKX2-2","Liver",328,0.312977099236641,"D7"
"360","NKX2-2","Stromal",111,0.105916030534351,"D7"
"361","NKX2-2","DE",41,0.0391221374045802,"D7"
"362","NKX2-2","ESC",17,0.0162213740458015,"D7"
"363","NKX2-2","Endothelial",6,0.00572519083969466,"D7"
"364","NKX2-2","Ductal",2,0.00190839694656489,"D7"
"365","NKX2-2","PP",1,0.000954198473282443,"D7"
"366","NKX2-2","Mesenchymal_Stromal",1,0.000954198473282443,"D7"
"367","ONECUT1e","PFG",181,0.435096153846154,"D7"
"368","ONECUT1e","Liver",166,0.399038461538462,"D7"
"369","ONECUT1e","Stromal",39,0.09375,"D7"
"370","ONECUT1e","DE",23,0.0552884615384615,"D7"
"371","ONECUT1e","ESC",3,0.00721153846153846,"D7"
"372","ONECUT1e","Endothelial",2,0.00480769230769231,"D7"
"373","ONECUT1e","ESC_DE",1,0.00240384615384615,"D7"
"374","ONECUT1e","Ductal",1,0.00240384615384615,"D7"
"375","OTUD5","PFG",261,0.518886679920477,"D7"
"376","OTUD5","Liver",195,0.387673956262425,"D7"
"377","OTUD5","Stromal",21,0.0417495029821074,"D7"
"378","OTUD5","DE",13,0.025844930417495,"D7"
"379","OTUD5","Endothelial",8,0.0159045725646123,"D7"
"380","OTUD5","ESC",5,0.0099403578528827,"D7"
"381","PAX6","PFG",232,0.464929859719439,"D7"
"382","PAX6","Liver",182,0.364729458917836,"D7"
"383","PAX6","Stromal",42,0.0841683366733467,"D7"
"384","PAX6","DE",28,0.0561122244488978,"D7"
"385","PAX6","ESC",9,0.0180360721442886,"D7"
"386","PAX6","Endothelial",5,0.0100200400801603,"D7"
"387","PAX6","Mesenchymal_Stromal",1,0.00200400801603206,"D7"
"388","PBX1","Liver",41,0.366071428571429,"D7"
"389","PBX1","PFG",37,0.330357142857143,"D7"
"390","PBX1","Stromal",14,0.125,"D7"
"391","PBX1","DE",13,0.116071428571429,"D7"
"392","PBX1","ESC",4,0.0357142857142857,"D7"
"393","PBX1","Endothelial",3,0.0267857142857143,"D7"
"394","PDX1","PFG",249,0.503030303030303,"D7"
"395","PDX1","Liver",180,0.363636363636364,"D7"
"396","PDX1","DE",31,0.0626262626262626,"D7"
"397","PDX1","Stromal",16,0.0323232323232323,"D7"
"398","PDX1","ESC",10,0.0202020202020202,"D7"
"399","PDX1","Endothelial",6,0.0121212121212121,"D7"
"400","PDX1","ESC_DE",2,0.00404040404040404,"D7"
"401","PDX1","Ductal",1,0.00202020202020202,"D7"
"402","PDX1het","PFG",6,0.428571428571429,"D7"
"403","PDX1het","Liver",6,0.428571428571429,"D7"
"404","PDX1het","ESC",2,0.142857142857143,"D7"
"405","PROSER1","PFG",165,0.504587155963303,"D7"
"406","PROSER1","Liver",139,0.425076452599388,"D7"
"407","PROSER1","Stromal",17,0.0519877675840979,"D7"
"408","PROSER1","Endothelial",4,0.0122324159021407,"D7"
"409","PROSER1","ESC",1,0.00305810397553517,"D7"
"410","PROSER1","DE",1,0.00305810397553517,"D7"
"411","QSER1","PFG",67,0.45578231292517,"D7"
"412","QSER1","Liver",63,0.428571428571429,"D7"
"413","QSER1","Stromal",9,0.0612244897959184,"D7"
"414","QSER1","DE",4,0.0272108843537415,"D7"
"415","QSER1","Endothelial",2,0.0136054421768707,"D7"
"416","QSER1","ESC",1,0.00680272108843537,"D7"
"417","QSER1","Ductal",1,0.00680272108843537,"D7"
"418","QSER1TET1","Liver",59,0.487603305785124,"D7"
"419","QSER1TET1","PFG",42,0.347107438016529,"D7"
"420","QSER1TET1","Endothelial",8,0.0661157024793388,"D7"
"421","QSER1TET1","Stromal",7,0.0578512396694215,"D7"
"422","QSER1TET1","DE",3,0.0247933884297521,"D7"
"423","QSER1TET1","ESC",1,0.00826446280991736,"D7"
"424","QSER1TET1","Mesenchymal_Stromal",1,0.00826446280991736,"D7"
"425","RFX6","PFG",368,0.490666666666667,"D7"
"426","RFX6","Liver",256,0.341333333333333,"D7"
"427","RFX6","DE",60,0.08,"D7"
"428","RFX6","Stromal",37,0.0493333333333333,"D7"
"429","RFX6","ESC",17,0.0226666666666667,"D7"
"430","RFX6","Endothelial",9,0.012,"D7"
"431","RFX6","PP",1,0.00133333333333333,"D7"
"432","RFX6","Ductal",1,0.00133333333333333,"D7"
"433","RFX6","Mesenchymal_Stromal",1,0.00133333333333333,"D7"
"434","TADA2B","Liver",47,0.321917808219178,"D7"
"435","TADA2B","PFG",41,0.280821917808219,"D7"
"436","TADA2B","DE",35,0.23972602739726,"D7"
"437","TADA2B","ESC",11,0.0753424657534247,"D7"
"438","TADA2B","Stromal",11,0.0753424657534247,"D7"
"439","TADA2B","Endothelial",1,0.00684931506849315,"D7"
"440","TET1","PFG",151,0.515358361774744,"D7"
"441","TET1","Liver",114,0.389078498293515,"D7"
"442","TET1","Stromal",16,0.0546075085324232,"D7"
"443","TET1","DE",3,0.0102389078498294,"D7"
"444","TET1","PP",3,0.0102389078498294,"D7"
"445","TET1","Endothelial",3,0.0102389078498294,"D7"
"446","TET1","ESC",2,0.0068259385665529,"D7"
"447","TET1","Mesenchymal_Stromal",1,0.00341296928327645,"D7"
"448","TET1/2/3","PFG",45,0.5,"D7"
"449","TET1/2/3","Liver",28,0.311111111111111,"D7"
"450","TET1/2/3","Stromal",6,0.0666666666666667,"D7"
"451","TET1/2/3","DE",5,0.0555555555555556,"D7"
"452","TET1/2/3","ESC",4,0.0444444444444444,"D7"
"453","TET1/2/3","PP",1,0.0111111111111111,"D7"
"454","TET1/2/3","Endothelial",1,0.0111111111111111,"D7"
"455","TLE3","PFG",209,0.541450777202073,"D7"
"456","TLE3","Liver",129,0.33419689119171,"D7"
"457","TLE3","Stromal",33,0.0854922279792746,"D7"
"458","TLE3","DE",8,0.0207253886010363,"D7"
"459","TLE3","ESC",3,0.0077720207253886,"D7"
"460","TLE3","Endothelial",3,0.0077720207253886,"D7"
"461","TLE3","Mesenchymal_Stromal",1,0.00259067357512953,"D7"
"462","WT","PFG",2498,0.652901202300052,"D7"
"463","WT","Liver",1169,0.305541035023523,"D7"
"464","WT","Endothelial",41,0.0107161526398327,"D7"
"465","WT","Stromal",36,0.00940930475692629,"D7"
"466","WT","DE",27,0.00705697856769472,"D7"
"467","WT","PP",27,0.00705697856769472,"D7"
"468","WT","ESC",8,0.00209095661265029,"D7"
"469","WT","EnP",8,0.00209095661265029,"D7"
"470","WT","Ductal",4,0.00104547830632514,"D7"
"471","WT","SC-EC",2,0.000522739153162572,"D7"
"472","WT","SC-beta",2,0.000522739153162572,"D7"
"473","WT","Mesenchymal_Stromal",2,0.000522739153162572,"D7"
"474","WT","ESC_DE",1,0.000261369576581286,"D7"
"475","WT","PGT",1,0.000261369576581286,"D7"
"476","ARX","PP",149,0.425714285714286,"D11"
"477","ARX","EnP",98,0.28,"D11"
"478","ARX","Stromal",55,0.157142857142857,"D11"
"479","ARX","PFG",18,0.0514285714285714,"D11"
"480","ARX","Endothelial",10,0.0285714285714286,"D11"
"481","ARX","Liver",7,0.02,"D11"
"482","ARX","DE",6,0.0171428571428571,"D11"
"483","ARX","SC-delta",6,0.0171428571428571,"D11"
"484","ARX","Mesenchymal_Stromal",1,0.00285714285714286,"D11"
"485","BCOR","PP",91,0.771186440677966,"D11"
"486","BCOR","Liver",8,0.0677966101694915,"D11"
"487","BCOR","PFG",7,0.0593220338983051,"D11"
"488","BCOR","Mesenchymal_Stromal",4,0.0338983050847458,"D11"
"489","BCOR","Ductal",3,0.0254237288135593,"D11"
"490","BCOR","ESC",2,0.0169491525423729,"D11"
"491","BCOR","Endothelial",2,0.0169491525423729,"D11"
"492","BCOR","EnP",1,0.00847457627118644,"D11"
"493","BMPR1A","PP",29,0.333333333333333,"D11"
"494","BMPR1A","ESC_DE",19,0.218390804597701,"D11"
"495","BMPR1A","Stromal",18,0.206896551724138,"D11"
"496","BMPR1A","Ductal",11,0.126436781609195,"D11"
"497","BMPR1A","PFG",4,0.0459770114942529,"D11"
"498","BMPR1A","ESC",2,0.0229885057471264,"D11"
"499","BMPR1A","DE",1,0.0114942528735632,"D11"
"500","BMPR1A","Mesenchymal_Stromal",1,0.0114942528735632,"D11"
"501","BMPR1A","Endothelial",1,0.0114942528735632,"D11"
"502","BMPR1A","Liver",1,0.0114942528735632,"D11"
"503","FOXA1","PP",403,0.670549084858569,"D11"
"504","FOXA1","EnP",79,0.131447587354409,"D11"
"505","FOXA1","Stromal",46,0.0765391014975042,"D11"
"506","FOXA1","PFG",16,0.0266222961730449,"D11"
"507","FOXA1","SC-alpha",16,0.0266222961730449,"D11"
"508","FOXA1","Liver",12,0.0199667221297837,"D11"
"509","FOXA1","Mesenchymal_Stromal",9,0.0149750415973378,"D11"
"510","FOXA1","DE",7,0.0116472545757072,"D11"
"511","FOXA1","Ductal",7,0.0116472545757072,"D11"
"512","FOXA1","ESC",2,0.00332778702163062,"D11"
"513","FOXA1","SC-delta",2,0.00332778702163062,"D11"
"514","FOXA1","Endothelial",2,0.00332778702163062,"D11"
"515","FOXA2","Endothelial",78,0.282608695652174,"D11"
"516","FOXA2","Liver",69,0.25,"D11"
"517","FOXA2","PP",48,0.173913043478261,"D11"
"518","FOXA2","Stromal",45,0.16304347826087,"D11"
"519","FOXA2","EnP",16,0.0579710144927536,"D11"
"520","FOXA2","PFG",9,0.0326086956521739,"D11"
"521","FOXA2","SC-alpha",2,0.0072463768115942,"D11"
"522","FOXA2","SC-delta",2,0.0072463768115942,"D11"
"523","FOXA2","Ductal",2,0.0072463768115942,"D11"
"524","FOXA2","Mesenchymal_Stromal",2,0.0072463768115942,"D11"
"525","FOXA2","ESC_DE",1,0.0036231884057971,"D11"
"526","FOXA2","DE",1,0.0036231884057971,"D11"
"527","FOXA2","SC-EC",1,0.0036231884057971,"D11"
"528","GATA4","PP",53,0.509615384615385,"D11"
"529","GATA4","Ductal",18,0.173076923076923,"D11"
"530","GATA4","PFG",9,0.0865384615384615,"D11"
"531","GATA4","Stromal",8,0.0769230769230769,"D11"
"532","GATA4","Liver",7,0.0673076923076923,"D11"
"533","GATA4","DE",4,0.0384615384615385,"D11"
"534","GATA4","ESC",2,0.0192307692307692,"D11"
"535","GATA4","Mesenchymal_Stromal",2,0.0192307692307692,"D11"
"536","GATA4","Endothelial",1,0.00961538461538462,"D11"
"537","GATA4het","PP",148,0.666666666666667,"D11"
"538","GATA4het","Stromal",27,0.121621621621622,"D11"
"539","GATA4het","PFG",19,0.0855855855855856,"D11"
"540","GATA4het","Ductal",13,0.0585585585585586,"D11"
"541","GATA4het","Mesenchymal_Stromal",6,0.027027027027027,"D11"
"542","GATA4het","Liver",5,0.0225225225225225,"D11"
"543","GATA4het","Endothelial",3,0.0135135135135135,"D11"
